t,relL2_bare,relL2_r3only,relL2_closure
0.0,3.2026476036501135e-16,3.2026476036501135e-16,3.2026476036501135e-16
0.005,2.3401144064445342e-09,2.2687042195948015e-09,5.729601708059072e-08
0.01,3.873022719355527e-09,3.6993192995756623e-09,3.3055051672299315e-08
0.015,5.520975299292246e-09,5.246339448902482e-09,8.113718717550926e-08
0.02,7.2203980144362875e-09,6.846995253185463e-09,1.1438656522827607e-07
0.025,8.94065259469504e-09,8.469612513386442e-09,1.8681452514428906e-07
0.03,1.0670862890783584e-08,1.0102839690034313e-08,3.9405542716768526e-07
0.035,1.2406311797269401e-08,1.1741731160861138e-08,6.925991022840458e-07
0.04,1.414460090036464e-08,1.3383765382871138e-08,1.3788390025953446e-06
0.045,1.5884378458547993e-08,1.5027518518406477e-08,2.708527294730165e-06
0.05,1.7624824632904137e-08,1.667212568845036e-08,5.382024873053752e-06
0.055,1.936541317437409e-08,1.8317030975266977e-08,1.0857705521398993e-05
0.06,2.1105790523239925e-08,1.996186035829837e-08,2.207535597526632e-05
