t,relL2_bare,relL2_r3only,relL2_r3anal,relL2_closure
0.0,5.000842804443389e-16,5.000842804443389e-16,5.000842804443389e-16,5.000842804443389e-16
0.015,0.00035326288155031844,0.0003531877592729498,1.541477174737719e-05,4.7952536682806293e-05
0.03,0.0007633700814241348,0.0007632082870539322,3.404442937562568e-05,0.00011634778496469936
0.045,0.0011880128193387006,0.001187760907770136,5.322791940929305e-05,0.00015781938646905968
0.06,0.001623088131813592,0.0016227432578830605,7.238061283903269e-05,0.00019507729602214182
0.075,0.0020709141834403316,0.0020704729766942813,9.1363033781759e-05,0.00040092444005560067
0.09,0.002536867246930621,0.0025363251664107652,0.0001101418565978732,0.0009423908693851097
0.105,0.0030313205045689427,0.0030306705232129995,0.00012871441292870288,0.0024199605160069044
0.12,0.003574655011833104,0.003573884603211368,0.00014708126902501824,0.00684457896804818
0.135,0.004207593278945284,0.004206677463095323,0.00016524191589829186,0.020235512526229044
0.15,0.0050122622963660575,0.005011147902191283,0.00018319582930391998,0.06723201996677425
0.16499999999999998,0.006149671959581213,0.0061482449830699195,0.00020094584194269688,0.5036144462041497
0.18,0.007919407559827549,0.007917432565940026,0.0002184987928334403,
0.195,0.01084293502135422,0.010839956677982251,0.00023586080474233747,
0.21,0.01576943308106288,0.01576462586827451,0.0002530303699789033,
0.22499999999999998,0.02407378623107856,0.024065695237110375,0.00027000558275706805,
0.24,0.03802645414331395,0.038012530810112306,0.00028678911998405705,
