case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_opt2_256_ic1357_full_0p015,opt2_256_ic1357,full,0.015,15,UNSTABLE,9.3602e-01,,,nan,4.6980e+00,False,,
case_opt2_256_ic1357_full_dissproj_0p015,opt2_256_ic1357,full_dissproj,0.015,15,UNSTABLE,9.3602e-01,,,nan,5.6504e+00,True,48.5,5.327e-02
case_opt2_256_ic1357_full_0p01,opt2_256_ic1357,full,0.01,,STABLE,7.6677e-03,7.7383e-02,0.10,nan,5.3330e-01,False,,
case_opt2_256_ic1357_full_dissproj_0p01,opt2_256_ic1357,full_dissproj,0.01,,STABLE,7.6677e-03,7.5094e-02,0.10,nan,4.4134e-01,True,49.0,1.454e-02
case_opt2_256_ic1357_full_0p005,opt2_256_ic1357,full,0.005,,STABLE,7.8822e-04,6.0424e-05,13.04,nan,2.5515e-02,False,,
case_opt2_256_ic1357_full_dissproj_0p005,opt2_256_ic1357,full_dissproj,0.005,,STABLE,7.8822e-04,6.2118e-05,12.69,nan,2.5863e-02,True,51.0,2.044e-02
case_opt2_256_ic549_full_0p015,opt2_256_ic549,full,0.015,,STABLE,1.6225e-01,1.9081e-01,0.85,nan,1.0994e+00,False,,
case_opt2_256_ic549_full_dissproj_0p015,opt2_256_ic549,full_dissproj,0.015,,STABLE,1.6225e-01,1.8157e-01,0.89,nan,1.0010e+00,True,47.0,1.308e-02
case_opt2_256_ic549_full_0p01,opt2_256_ic549,full,0.01,,STABLE,6.4236e-03,1.8223e-02,0.35,nan,3.8684e-02,False,,
case_opt2_256_ic549_full_dissproj_0p01,opt2_256_ic549,full_dissproj,0.01,,STABLE,6.4236e-03,1.8541e-02,0.35,nan,4.2800e-02,True,54.0,1.399e-02
case_opt2_256_ic549_full_0p005,opt2_256_ic549,full,0.005,,STABLE,7.3044e-04,3.3200e-05,22.00,nan,2.0277e-02,False,,
case_opt2_256_ic549_full_dissproj_0p005,opt2_256_ic549,full_dissproj,0.005,,STABLE,7.3044e-04,3.5403e-05,20.63,nan,2.0221e-02,True,57.4,2.071e-02
case_opt2_256_ic933_full_0p015,opt2_256_ic933,full,0.015,,STABLE,4.7460e-02,1.0673e-01,0.44,nan,4.7506e-02,False,,
case_opt2_256_ic933_full_dissproj_0p015,opt2_256_ic933,full_dissproj,0.015,,STABLE,4.7460e-02,1.1960e-01,0.40,nan,5.2560e-02,True,51.9,1.378e-02
case_opt2_256_ic933_full_0p01,opt2_256_ic933,full,0.01,,STABLE,5.0482e-03,1.4095e-03,3.58,nan,2.6506e-02,False,,
case_opt2_256_ic933_full_dissproj_0p01,opt2_256_ic933,full_dissproj,0.01,,STABLE,5.0482e-03,1.3337e-03,3.79,nan,2.6548e-02,True,52.6,1.570e-02
case_opt2_256_ic933_full_0p005,opt2_256_ic933,full,0.005,,STABLE,5.7671e-04,2.4465e-05,23.57,nan,1.8203e-02,False,,
case_opt2_256_ic933_full_dissproj_0p005,opt2_256_ic933,full_dissproj,0.005,,STABLE,5.7671e-04,2.5576e-05,22.55,nan,1.8213e-02,True,55.8,1.862e-02
case_opt2_combo_ic1355_full_0p015,opt2_combo_ic1355,full,0.015,,STABLE,9.9893e-02,6.5810e-02,1.52,2.9391e+00,6.8638e-02,False,,
case_opt2_combo_ic1355_full_dissproj_0p015,opt2_combo_ic1355,full_dissproj,0.015,,STABLE,9.9893e-02,6.5757e-02,1.52,2.9145e+00,6.8150e-02,True,90.4,8.909e-03
case_opt2_combo_ic1355_full_0p01,opt2_combo_ic1355,full,0.01,,STABLE,4.7886e-03,1.3821e-03,3.46,4.3182e-02,3.2144e-02,False,,
case_opt2_combo_ic1355_full_dissproj_0p01,opt2_combo_ic1355,full_dissproj,0.01,,STABLE,4.7886e-03,1.3817e-03,3.47,4.3042e-02,3.2158e-02,True,101.9,1.160e-02
case_opt2_combo_ic1355_full_0p005,opt2_combo_ic1355,full,0.005,,STABLE,5.3719e-04,4.8365e-05,11.11,2.4902e-02,1.5351e-02,False,,
case_opt2_combo_ic1355_full_dissproj_0p005,opt2_combo_ic1355,full_dissproj,0.005,,STABLE,5.3719e-04,4.8772e-05,11.01,2.4876e-02,1.5345e-02,True,106.9,1.289e-02
case_opt2_combo_ic527_full_0p015,opt2_combo_ic527,full,0.015,10,UNSTABLE,,,,3.2918e+00,6.3072e-01,False,,
case_opt2_combo_ic527_full_dissproj_0p015,opt2_combo_ic527,full_dissproj,0.015,10,UNSTABLE,,,,3.2797e+00,6.4754e-01,True,95.2,1.961e-02
case_opt2_combo_ic527_full_0p01,opt2_combo_ic527,full,0.01,13,UNSTABLE,7.6240e-02,,,5.3950e+00,3.3712e+00,False,,
case_opt2_combo_ic527_full_dissproj_0p01,opt2_combo_ic527,full_dissproj,0.01,13,UNSTABLE,7.6240e-02,,,5.3981e+00,3.2674e+00,True,92.8,9.850e-03
case_opt2_combo_ic527_full_0p005,opt2_combo_ic527,full,0.005,,STABLE,1.5888e-03,1.7226e-03,0.92,4.3149e-02,1.7710e-02,False,,
