case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_opt2_256_ic1357_h128_full_0p005,opt2_256_ic1357_h128,full,0.005,29,UNSTABLE,5.5175e-03,,,nan,1.1203e+00,False,,
case_opt2_256_ic1357_h128_full_dissproj_0p005,opt2_256_ic1357_h128,full_dissproj,0.005,29,UNSTABLE,5.5175e-03,,,nan,1.9653e+00,True,50.8,2.915e-02
case_opt2_256_ic549_h128_full_0p005,opt2_256_ic549_h128,full,0.005,34,UNSTABLE,5.1652e-03,,,nan,3.8286e+00,False,,
case_opt2_256_ic549_h128_full_dissproj_0p005,opt2_256_ic549_h128,full_dissproj,0.005,34,UNSTABLE,5.1652e-03,,,nan,9.3176e-01,True,56.0,2.611e-02
case_opt2_256_ic933_h128_full_0p005,opt2_256_ic933_h128,full,0.005,38,UNSTABLE,3.8543e-03,,,nan,3.7568e+01,False,,
case_opt2_256_ic933_h128_full_dissproj_0p005,opt2_256_ic933_h128,full_dissproj,0.005,37,UNSTABLE,3.8543e-03,,,nan,2.9332e-02,True,53.2,3.865e-02
case_opt2_combo_ic1355_h128_full_0p005,opt2_combo_ic1355_h128,full,0.005,36,UNSTABLE,3.7138e-03,,,3.9025e-01,8.0498e-02,False,,
case_opt2_combo_ic1355_h128_full_dissproj_0p005,opt2_combo_ic1355_h128,full_dissproj,0.005,37,UNSTABLE,3.7138e-03,,,1.8651e-01,5.6673e-02,True,108.1,4.927e-02
case_opt2_combo_ic527_h128_full_0p005,opt2_combo_ic527_h128,full,0.005,21,UNSTABLE,1.2431e-02,,,4.3149e-02,1.7710e-02,False,,
case_opt2_combo_ic527_h128_full_dissproj_0p005,opt2_combo_ic527_h128,full_dissproj,0.005,21,UNSTABLE,1.2431e-02,,,4.3082e-02,1.7580e-02,True,105.4,1.802e-02
case_opt2_combo_ic884_h128_full_0p005,opt2_combo_ic884_h128,full,0.005,30,UNSTABLE,4.3899e-03,,,4.3328e-01,3.4005e-01,False,,
case_opt2_combo_ic884_h128_full_dissproj_0p005,opt2_combo_ic884_h128,full_dissproj,0.005,31,UNSTABLE,4.3899e-03,,,3.2706e-01,3.0218e-01,True,103.2,5.381e-02
case_opt2_kf4_ic1356_h128_full_0p005,opt2_kf4_ic1356_h128,full,0.005,37,UNSTABLE,1.6155e-03,,,1.6933e-01,4.1096e-02,False,,
case_opt2_kf4_ic1356_h128_full_dissproj_0p005,opt2_kf4_ic1356_h128,full_dissproj,0.005,37,UNSTABLE,1.6155e-03,,,8.8663e-02,3.6513e-02,True,94.9,3.736e-02
case_opt2_kf4_ic532_h128_full_0p005,opt2_kf4_ic532_h128,full,0.005,38,UNSTABLE,1.6151e-03,,,1.1455e+01,6.9218e+00,False,,
case_opt2_kf4_ic532_h128_full_dissproj_0p005,opt2_kf4_ic532_h128,full_dissproj,0.005,38,UNSTABLE,1.6151e-03,,,1.0496e+01,2.9942e+00,True,87.9,4.220e-02
case_opt2_kf4_ic837_h128_full_0p005,opt2_kf4_ic837_h128,full,0.005,34,UNSTABLE,1.3517e-03,,,4.1364e+00,4.5189e-01,False,,
case_opt2_kf4_ic837_h128_full_dissproj_0p005,opt2_kf4_ic837_h128,full_dissproj,0.005,34,UNSTABLE,1.3517e-03,,,8.9796e+00,1.7276e+00,True,98.1,2.356e-02
case_opt2_kf4_ic912_h128_full_0p005,opt2_kf4_ic912_h128,full,0.005,31,UNSTABLE,1.7805e-03,,,2.5045e+00,5.8577e-02,False,,
case_opt2_kf4_ic912_h128_full_dissproj_0p005,opt2_kf4_ic912_h128,full_dissproj,0.005,31,UNSTABLE,1.7805e-03,,,1.6036e+00,5.5289e-02,True,105.7,8.685e-02
