member,ic,dT,bare_relL2,bare_crosscheck_max,p1nn_relL2,p1nn_x,p1nn_verdict,p1nn_blowup,condv2_relL2,condv2_x,condv2_verdict,condv2_blowup,true_relL2,true_x,true_verdict,true_blowup
kf4,532,0.005,0.00027099,0.0,3.6974e-05,7.329204305728348,STABLE,,0.0023722,0.11423573054548519,STABLE,,3.6808e-06,73.622582047381,STABLE,
kf4,532,0.01,0.0021994,0.0,0.00025365,8.671003351074313,STABLE,,nan,nan,UNSTABLE,14,6.0278e-05,36.48760741895882,STABLE,
kf4,532,0.015,0.0093986,0.0,0.0030351,3.096636025172152,STABLE,,nan,nan,UNSTABLE,8,0.00033385,28.15216414557436,STABLE,
kf4,912,0.005,0.00031217,0.0,0.00025466,1.2258305191235375,STABLE,,0.047771,0.006534717715768981,STABLE,,5.6236e-06,55.51070488654955,STABLE,
kf4,912,0.01,0.0027377,0.0,0.0004081,6.708404802744425,STABLE,,nan,nan,UNSTABLE,11,9.7988e-05,27.939135404335225,STABLE,
kf4,912,0.015,0.072072,0.0,0.017394,4.143497757847533,STABLE,,nan,nan,UNSTABLE,7,0.00058634,122.91844322406794,STABLE,
kf4,1356,0.005,0.00025684,0.0,4.844e-05,5.302229562345169,STABLE,,0.00016939,1.5162642422811263,STABLE,,3.5802e-06,71.73900899391096,STABLE,
kf4,1356,0.01,0.0021155,0.0,0.0002405,8.796257796257798,STABLE,,nan,nan,UNSTABLE,13,5.9903e-05,35.31542660634693,STABLE,
kf4,1356,0.015,0.019297,0.0,0.0034113,5.656787734881131,STABLE,,nan,nan,UNSTABLE,7,0.00034324,56.220137513110366,STABLE,
256,549,0.005,0.00073044,0.0,0.00033563,2.1763251199237255,STABLE,,3.634e-05,20.100165107319757,STABLE,,1.2149e-05,60.12346695201251,STABLE,
256,549,0.01,0.0064236,0.0,0.00075888,8.464579380139153,STABLE,,nan,nan,UNSTABLE,13,0.00021478,29.907812645497717,STABLE,
256,549,0.015,0.16225,0.0,0.030704,5.284327774882752,STABLE,,nan,nan,UNSTABLE,7,0.0013026,124.55857515737756,STABLE,
256,933,0.005,0.00057671,0.0,0.00013322,4.329004653955862,STABLE,,4.3411e-05,13.284881712008477,STABLE,,9.8474e-06,58.56469728050044,STABLE,
256,933,0.01,0.0050482,0.0,0.00055766,9.05246924649428,STABLE,,nan,nan,UNSTABLE,13,0.00017342,29.109675931265137,STABLE,
256,933,0.015,0.04746,0.0,0.011151,4.256120527306968,STABLE,,nan,nan,UNSTABLE,7,0.0010547,44.99857779463355,STABLE,
256,1357,0.005,0.00078822,0.0,0.00096678,0.8153044125861105,STABLE,,7.5594e-05,10.427018017302961,STABLE,,1.5571e-05,50.62102626677798,STABLE,
256,1357,0.01,0.0076677,0.0,0.0040649,1.8863194666535463,STABLE,,nan,nan,UNSTABLE,11,0.00028442,26.959074607974124,STABLE,
256,1357,0.015,0.93602,0.0,1.7526,0.5340750884400319,STABLE,,nan,nan,UNSTABLE,6,0.0017636,530.7439328645952,STABLE,
