case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_condv2_256_ic1357_full_0p015,condv2_256_ic1357,full,0.015,6,UNSTABLE,9.3602e-01,,,nan,2.7658e-02,False,,
case_condv2_256_ic1357_full_0p01,condv2_256_ic1357,full,0.01,11,UNSTABLE,7.6677e-03,,,nan,2.3241e-01,False,,
case_condv2_256_ic1357_full_0p005,condv2_256_ic1357,full,0.005,,STABLE,7.8822e-04,7.5594e-05,10.43,nan,2.5034e-02,False,,
case_condv2_256_ic549_full_0p015,condv2_256_ic549,full,0.015,7,UNSTABLE,1.6225e-01,,,nan,7.6611e-02,False,,
case_condv2_256_ic549_full_0p01,condv2_256_ic549,full,0.01,13,UNSTABLE,6.4236e-03,,,nan,1.5382e+00,False,,
case_condv2_256_ic549_full_0p005,condv2_256_ic549,full,0.005,,STABLE,7.3044e-04,3.6340e-05,20.10,nan,2.0349e-02,False,,
case_condv2_256_ic933_full_0p015,condv2_256_ic933,full,0.015,7,UNSTABLE,4.7460e-02,,,nan,1.3844e+00,False,,
case_condv2_256_ic933_full_0p01,condv2_256_ic933,full,0.01,13,UNSTABLE,5.0482e-03,,,nan,2.0953e+00,False,,
case_condv2_256_ic933_full_0p005,condv2_256_ic933,full,0.005,,STABLE,5.7671e-04,4.3411e-05,13.29,nan,1.7801e-02,False,,
case_condv2_kf4_ic1356_full_0p015,condv2_kf4_ic1356,full,0.015,7,UNSTABLE,1.9297e-02,,,2.9796e+00,2.3668e-02,False,,
case_condv2_kf4_ic1356_full_0p01,condv2_kf4_ic1356,full,0.01,13,UNSTABLE,2.1155e-03,,,5.4568e+00,1.9230e-01,False,,
case_condv2_kf4_ic1356_full_0p005,condv2_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,1.6939e-04,1.52,1.7702e-02,1.2890e-02,False,,
case_condv2_kf4_ic532_full_0p015,condv2_kf4_ic532,full,0.015,8,UNSTABLE,9.3986e-03,,,4.1695e+00,3.0101e+00,False,,
case_condv2_kf4_ic532_full_0p01,condv2_kf4_ic532,full,0.01,14,UNSTABLE,2.1994e-03,,,6.1480e+00,4.3267e-02,False,,
case_condv2_kf4_ic532_full_0p005,condv2_kf4_ic532,full,0.005,,STABLE,2.7099e-04,2.3722e-03,0.11,5.8739e-01,1.4102e-02,False,,
case_condv2_kf4_ic912_full_0p015,condv2_kf4_ic912,full,0.015,7,UNSTABLE,7.2072e-02,,,3.6045e+00,1.0135e+00,False,,
case_condv2_kf4_ic912_full_0p01,condv2_kf4_ic912,full,0.01,11,UNSTABLE,2.7377e-03,,,6.1672e+00,2.1011e+00,False,,
case_condv2_kf4_ic912_full_0p005,condv2_kf4_ic912,full,0.005,,STABLE,3.1217e-04,4.7771e-02,0.01,1.0351e+01,1.9464e-02,False,,
