case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_trueclos_256_ic1357_full_0p015,trueclos_256_ic1357,full,0.015,,STABLE,9.3602e-01,1.7636e-03,,nan,5.4881e-02,False,,
case_trueclos_256_ic1357_full_0p01,trueclos_256_ic1357,full,0.01,,STABLE,7.6677e-03,2.8442e-04,,nan,4.3642e-02,False,,
case_trueclos_256_ic1357_full_0p005,trueclos_256_ic1357,full,0.005,,STABLE,7.8822e-04,1.5571e-05,,nan,2.5387e-02,False,,
case_trueclos_256_ic549_full_0p015,trueclos_256_ic549,full,0.015,,STABLE,1.6225e-01,1.3026e-03,,nan,4.8605e-02,False,,
case_trueclos_256_ic549_full_0p01,trueclos_256_ic549,full,0.01,,STABLE,6.4236e-03,2.1478e-04,,nan,3.5667e-02,False,,
case_trueclos_256_ic549_full_0p005,trueclos_256_ic549,full,0.005,,STABLE,7.3044e-04,1.2149e-05,,nan,2.0318e-02,False,,
case_trueclos_256_ic933_full_0p015,trueclos_256_ic933,full,0.015,,STABLE,4.7460e-02,1.0547e-03,,nan,3.5637e-02,False,,
case_trueclos_256_ic933_full_0p01,trueclos_256_ic933,full,0.01,,STABLE,5.0482e-03,1.7342e-04,,nan,2.6760e-02,False,,
case_trueclos_256_ic933_full_0p005,trueclos_256_ic933,full,0.005,,STABLE,5.7671e-04,9.8474e-06,,nan,1.8184e-02,False,,
case_trueclos_kf4_ic1356_full_0p015,trueclos_kf4_ic1356,full,0.015,,STABLE,1.9297e-02,3.4324e-04,,2.0815e-02,3.0183e-02,False,,
case_trueclos_kf4_ic1356_full_0p01,trueclos_kf4_ic1356,full,0.01,,STABLE,2.1155e-03,5.9903e-05,,2.0348e-02,2.4790e-02,False,,
case_trueclos_kf4_ic1356_full_0p005,trueclos_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,3.5802e-06,,1.8503e-02,1.2652e-02,False,,
case_trueclos_kf4_ic532_full_0p015,trueclos_kf4_ic532,full,0.015,,STABLE,9.3986e-03,3.3385e-04,,2.3491e-02,4.2095e-02,False,,
case_trueclos_kf4_ic532_full_0p01,trueclos_kf4_ic532,full,0.01,,STABLE,2.1994e-03,6.0278e-05,,2.0903e-02,2.9574e-02,False,,
case_trueclos_kf4_ic532_full_0p005,trueclos_kf4_ic532,full,0.005,,STABLE,2.7099e-04,3.6808e-06,,2.2714e-02,1.4540e-02,False,,
case_trueclos_kf4_ic912_full_0p015,trueclos_kf4_ic912,full,0.015,,STABLE,7.2072e-02,5.8634e-04,,4.0234e-02,3.5688e-02,False,,
case_trueclos_kf4_ic912_full_0p01,trueclos_kf4_ic912,full,0.01,,STABLE,2.7377e-03,9.7988e-05,,4.3908e-02,2.6463e-02,False,,
case_trueclos_kf4_ic912_full_0p005,trueclos_kf4_ic912,full,0.005,,STABLE,3.1217e-04,5.6236e-06,,2.6982e-02,1.5312e-02,False,,
