case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last
case_uncond_full_0p015,uncond,full,0.015,12,UNSTABLE,3.8026e-02,,,4.5313e+00,2.1773e+00
case_cond_full_0p015,cond,full,0.015,7,UNSTABLE,3.8026e-02,,,3.4994e+00,1.9314e-02
case_uncond_dropnddot_0p015,uncond,dropnddot,0.015,,STABLE,3.8026e-02,3.8253e-02,0.99,2.8965e+00,3.8320e-02
case_cond_dropnddot_0p015,cond,dropnddot,0.015,,STABLE,3.8026e-02,3.8206e-02,1.00,2.8954e+00,3.8310e-02
case_uncond_full_0p01,uncond,full,0.01,,STABLE,1.7481e-03,1.0881e-02,0.16,2.1524e+00,3.1794e-02
case_cond_full_0p01,cond,full,0.01,13,UNSTABLE,1.7481e-03,,,6.9126e+00,2.6074e-01
case_uncond_dropnddot_0p01,uncond,dropnddot,0.01,,STABLE,1.7481e-03,1.7466e-03,1.00,3.8088e-02,2.5539e-02
case_cond_dropnddot_0p01,cond,dropnddot,0.01,,STABLE,1.7481e-03,1.7464e-03,1.00,3.8080e-02,2.5539e-02
case_uncond_full_0p005,uncond,full,0.005,,STABLE,2.0950e-04,3.6035e-03,0.06,1.0773e-01,2.3356e-02
case_cond_full_0p005,cond,full,0.005,,STABLE,2.0950e-04,2.9143e-04,0.72,2.7850e-02,1.3691e-02
case_uncond_dropnddot_0p005,uncond,dropnddot,0.005,,STABLE,2.0950e-04,2.0945e-04,1.00,2.3728e-02,1.2770e-02
case_cond_dropnddot_0p005,cond,dropnddot,0.005,,STABLE,2.0950e-04,2.0943e-04,1.00,2.3731e-02,1.2770e-02
