case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last
case_uncond_full_proj_0p015,uncond,full_proj,0.015,,STABLE,3.8026e-02,1.5428e+00,0.02,2.7221e+00,5.5737e+00
case_cond_full_proj_0p015,cond,full_proj,0.015,8,UNSTABLE,3.8026e-02,,,1.2791e-01,3.3312e+00
case_uncond_dropnddot_proj_0p015,uncond,dropnddot_proj,0.015,,STABLE,3.8026e-02,3.8013e-02,1.00,2.8852e+00,3.8320e-02
case_cond_dropnddot_proj_0p015,cond,dropnddot_proj,0.015,,STABLE,3.8026e-02,3.8012e-02,1.00,2.8852e+00,3.8310e-02
case_uncond_full_proj_0p01,uncond,full_proj,0.01,,STABLE,1.7481e-03,2.1777e-03,0.80,4.1107e-02,2.7893e-02
case_cond_full_proj_0p01,cond,full_proj,0.01,16,UNSTABLE,1.7481e-03,,,4.1985e-02,1.7760e-01
case_uncond_dropnddot_proj_0p01,uncond,dropnddot_proj,0.01,,STABLE,1.7481e-03,1.7477e-03,1.00,3.7789e-02,2.5539e-02
case_cond_dropnddot_proj_0p01,cond,dropnddot_proj,0.01,,STABLE,1.7481e-03,1.7476e-03,1.00,3.7789e-02,2.5539e-02
case_uncond_full_proj_0p005,uncond,full_proj,0.005,,STABLE,2.0950e-04,3.4721e-03,0.06,2.3830e-02,2.0840e-02
case_cond_full_proj_0p005,cond,full_proj,0.005,,STABLE,2.0950e-04,9.5624e-04,0.22,2.3818e-02,1.5003e-02
case_uncond_dropnddot_proj_0p005,uncond,dropnddot_proj,0.005,,STABLE,2.0950e-04,2.0946e-04,1.00,2.3814e-02,1.2770e-02
case_cond_dropnddot_proj_0p005,cond,dropnddot_proj,0.005,,STABLE,2.0950e-04,2.0946e-04,1.00,2.3814e-02,1.2770e-02
case_analytic_full_0p015,analytic,full,0.015,,STABLE,3.8026e-02,2.8679e-04,,3.9669e-02,3.6279e-02
case_analytic_full_proj_0p015,analytic,full_proj,0.015,,STABLE,3.8026e-02,3.7574e-02,,2.8836e+00,3.6259e-02
case_analytic_full_0p01,analytic,full,0.01,,STABLE,1.7481e-03,4.9738e-05,,2.9648e-02,2.4734e-02
case_analytic_full_proj_0p01,analytic,full_proj,0.01,,STABLE,1.7481e-03,1.2444e-03,,4.1124e-02,2.4734e-02
case_analytic_full_0p005,analytic,full,0.005,,STABLE,2.0950e-04,2.9346e-06,,2.2908e-02,1.2745e-02
case_analytic_full_proj_0p005,analytic,full_proj,0.005,,STABLE,2.0950e-04,1.4572e-04,,2.3815e-02,1.2745e-02
