case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last
case_opt2_256_ic1357_full_0p015,opt2_256_ic1357,full,0.015,15,UNSTABLE,9.3602e-01,,,nan,4.6980e+00
case_opt2_256_ic1357_full_0p01,opt2_256_ic1357,full,0.01,,STABLE,7.6677e-03,7.7383e-02,0.10,nan,5.3330e-01
case_opt2_256_ic1357_full_0p005,opt2_256_ic1357,full,0.005,,STABLE,7.8822e-04,6.0424e-05,13.04,nan,2.5515e-02
case_opt2_256_ic549_full_0p015,opt2_256_ic549,full,0.015,,STABLE,1.6225e-01,1.9081e-01,0.85,nan,1.0994e+00
case_opt2_256_ic549_full_0p01,opt2_256_ic549,full,0.01,,STABLE,6.4236e-03,1.8223e-02,0.35,nan,3.8684e-02
case_opt2_256_ic549_full_0p005,opt2_256_ic549,full,0.005,,STABLE,7.3044e-04,3.3200e-05,22.00,nan,2.0277e-02
case_opt2_256_ic933_full_0p015,opt2_256_ic933,full,0.015,,STABLE,4.7460e-02,1.0673e-01,0.44,nan,4.7506e-02
case_opt2_256_ic933_full_0p01,opt2_256_ic933,full,0.01,,STABLE,5.0482e-03,1.4095e-03,3.58,nan,2.6506e-02
case_opt2_256_ic933_full_0p005,opt2_256_ic933,full,0.005,,STABLE,5.7671e-04,2.4465e-05,23.57,nan,1.8203e-02
case_opt2_combo_ic1355_full_0p015,opt2_combo_ic1355,full,0.015,,STABLE,9.9893e-02,6.5810e-02,1.52,2.9391e+00,6.8638e-02
case_opt2_combo_ic1355_full_0p01,opt2_combo_ic1355,full,0.01,,STABLE,4.7886e-03,1.3821e-03,3.46,4.3182e-02,3.2144e-02
case_opt2_combo_ic1355_full_0p005,opt2_combo_ic1355,full,0.005,,STABLE,5.3719e-04,4.8365e-05,11.11,2.4902e-02,1.5351e-02
case_opt2_combo_ic527_full_0p015,opt2_combo_ic527,full,0.015,10,UNSTABLE,,,,3.2918e+00,6.3072e-01
case_opt2_combo_ic527_full_0p01,opt2_combo_ic527,full,0.01,13,UNSTABLE,7.6240e-02,,,5.3950e+00,3.3712e+00
case_opt2_combo_ic527_full_0p005,opt2_combo_ic527,full,0.005,,STABLE,1.5888e-03,1.7226e-03,0.92,4.3149e-02,1.7710e-02
case_opt2_combo_ic884_full_0p015,opt2_combo_ic884,full,0.015,14,UNSTABLE,4.5260e-01,,,4.6505e+00,2.6343e+00
case_opt2_combo_ic884_full_0p01,opt2_combo_ic884,full,0.01,,STABLE,6.1261e-03,1.1255e+00,0.01,7.3414e+00,1.0927e+01
case_opt2_combo_ic884_full_0p005,opt2_combo_ic884,full,0.005,,STABLE,6.3583e-04,9.9078e-05,6.42,1.7409e-02,1.0030e-02
case_opt2_kf4_ic1356_full_0p015,opt2_kf4_ic1356,full,0.015,,STABLE,1.9297e-02,5.2634e-02,0.37,3.6290e+00,6.4230e-02
case_opt2_kf4_ic1356_full_0p01,opt2_kf4_ic1356,full,0.01,,STABLE,2.1155e-03,8.8245e-04,2.40,5.3158e-02,2.4606e-02
case_opt2_kf4_ic1356_full_0p005,opt2_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,1.2903e-05,19.91,1.8564e-02,1.2681e-02
case_opt2_kf4_ic532_full_0p015,opt2_kf4_ic532,full,0.015,,STABLE,9.3986e-03,4.9649e-03,1.89,3.4667e-01,4.5595e-02
case_opt2_kf4_ic532_full_0p01,opt2_kf4_ic532,full,0.01,,STABLE,2.1994e-03,3.5654e-04,6.17,2.5036e-02,2.9594e-02
case_opt2_kf4_ic532_full_0p005,opt2_kf4_ic532,full,0.005,,STABLE,2.7099e-04,1.2709e-05,21.32,2.2661e-02,1.4560e-02
case_opt2_kf4_ic912_full_0p015,opt2_kf4_ic912,full,0.015,16,UNSTABLE,7.2072e-02,,,2.1399e+00,8.2568e+00
case_opt2_kf4_ic912_full_0p01,opt2_kf4_ic912,full,0.01,,STABLE,2.7377e-03,6.3891e-02,0.04,4.0237e+00,3.8180e-01
case_opt2_kf4_ic912_full_0p005,opt2_kf4_ic912,full,0.005,,STABLE,3.1217e-04,2.0426e-05,15.28,2.6890e-02,1.5370e-02
