case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_p1lam01_256_ic1357_full_0p015,p1lam01_256_ic1357,full,0.015,,STABLE,9.3602e-01,1.7526e+00,0.53,nan,4.1425e+00,False,,
case_p1lam01_256_ic1357_full_0p01,p1lam01_256_ic1357,full,0.01,,STABLE,7.6677e-03,4.0649e-03,1.89,nan,4.3409e-02,False,,
case_p1lam01_256_ic1357_full_0p005,p1lam01_256_ic1357,full,0.005,,STABLE,7.8822e-04,9.6678e-04,0.82,nan,2.4827e-02,False,,
case_p1lam01_256_ic549_full_0p015,p1lam01_256_ic549,full,0.015,,STABLE,1.6225e-01,3.0704e-02,5.28,nan,4.4008e-02,False,,
case_p1lam01_256_ic549_full_0p01,p1lam01_256_ic549,full,0.01,,STABLE,6.4236e-03,7.5888e-04,8.46,nan,3.5414e-02,False,,
case_p1lam01_256_ic549_full_0p005,p1lam01_256_ic549,full,0.005,,STABLE,7.3044e-04,3.3563e-04,2.18,nan,2.0664e-02,False,,
case_p1lam01_256_ic933_full_0p015,p1lam01_256_ic933,full,0.015,,STABLE,4.7460e-02,1.1151e-02,4.26,nan,3.7323e-02,False,,
case_p1lam01_256_ic933_full_0p01,p1lam01_256_ic933,full,0.01,,STABLE,5.0482e-03,5.5766e-04,9.05,nan,2.6885e-02,False,,
case_p1lam01_256_ic933_full_0p005,p1lam01_256_ic933,full,0.005,,STABLE,5.7671e-04,1.3322e-04,4.33,nan,1.7745e-02,False,,
case_p1lam01_combo_ic1355_full_0p015,p1lam01_combo_ic1355,full,0.015,,STABLE,9.9893e-02,1.0142e-02,9.85,1.5965e-01,4.6099e-02,False,,
case_p1lam01_combo_ic1355_full_0p01,p1lam01_combo_ic1355,full,0.01,,STABLE,4.7886e-03,6.4421e-04,7.43,2.7800e-02,3.2176e-02,False,,
case_p1lam01_combo_ic1355_full_0p005,p1lam01_combo_ic1355,full,0.005,,STABLE,5.3719e-04,2.4168e-04,2.22,2.5984e-02,1.5361e-02,False,,
case_p1lam01_combo_ic527_full_0p015,p1lam01_combo_ic527,full,0.015,11,UNSTABLE,,,,2.6815e+00,1.1794e+00,False,,
case_p1lam01_combo_ic527_full_0p01,p1lam01_combo_ic527,full,0.01,16,UNSTABLE,7.6240e-02,,,6.2024e+00,7.0625e-01,False,,
case_p1lam01_combo_ic527_full_0p005,p1lam01_combo_ic527,full,0.005,,STABLE,1.5888e-03,6.7315e-02,0.02,7.3498e+00,6.7207e-01,False,,
case_p1lam01_combo_ic884_full_0p015,p1lam01_combo_ic884,full,0.015,,STABLE,4.5260e-01,9.7116e-01,0.47,5.7909e+00,4.7410e+00,False,,
case_p1lam01_combo_ic884_full_0p01,p1lam01_combo_ic884,full,0.01,,STABLE,6.1261e-03,9.1232e-04,6.71,2.3574e-02,2.2456e-02,False,,
case_p1lam01_combo_ic884_full_0p005,p1lam01_combo_ic884,full,0.005,,STABLE,6.3583e-04,9.2382e-04,0.69,5.4135e-02,1.2640e-02,False,,
case_p1lam01_kf4_ic1356_full_0p015,p1lam01_kf4_ic1356,full,0.015,,STABLE,1.9297e-02,3.4113e-03,5.66,1.2430e-01,3.0206e-02,False,,
case_p1lam01_kf4_ic1356_full_0p01,p1lam01_kf4_ic1356,full,0.01,,STABLE,2.1155e-03,2.4050e-04,8.80,2.1976e-02,2.4889e-02,False,,
case_p1lam01_kf4_ic1356_full_0p005,p1lam01_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,4.8440e-05,5.30,1.7127e-02,1.2666e-02,False,,
case_p1lam01_kf4_ic532_full_0p015,p1lam01_kf4_ic532,full,0.015,,STABLE,9.3986e-03,3.0351e-03,3.10,7.1429e-02,4.2120e-02,False,,
case_p1lam01_kf4_ic532_full_0p01,p1lam01_kf4_ic532,full,0.01,,STABLE,2.1994e-03,2.5365e-04,8.67,2.0474e-02,2.9632e-02,False,,
case_p1lam01_kf4_ic532_full_0p005,p1lam01_kf4_ic532,full,0.005,,STABLE,2.7099e-04,3.6974e-05,7.33,2.2347e-02,1.4520e-02,False,,
case_p1lam01_kf4_ic912_full_0p015,p1lam01_kf4_ic912,full,0.015,,STABLE,7.2072e-02,1.7394e-02,4.14,1.5310e+00,3.7344e-02,False,,
case_p1lam01_kf4_ic912_full_0p01,p1lam01_kf4_ic912,full,0.01,,STABLE,2.7377e-03,4.0810e-04,6.71,4.6848e-02,2.6407e-02,False,,
case_p1lam01_kf4_ic912_full_0p005,p1lam01_kf4_ic912,full,0.005,,STABLE,3.1217e-04,2.5466e-04,1.23,3.8151e-02,1.5340e-02,False,,
