case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last
case_psw3_256_ic1357_full_0p015,psw3_256_ic1357,full,0.015,14,UNSTABLE,9.3602e-01,,,nan,6.4238e+00
case_psw3_256_ic1357_full_0p01,psw3_256_ic1357,full,0.01,,STABLE,7.6677e-03,9.2092e-02,0.08,nan,1.4439e-01
case_psw3_256_ic1357_full_0p005,psw3_256_ic1357,full,0.005,,STABLE,7.8822e-04,5.5514e-05,14.20,nan,2.5578e-02
case_psw3_256_ic549_full_0p015,psw3_256_ic549,full,0.015,,STABLE,1.6225e-01,9.7936e-01,0.17,nan,1.0244e+01
case_psw3_256_ic549_full_0p01,psw3_256_ic549,full,0.01,,STABLE,6.4236e-03,2.5285e-02,0.25,nan,3.5726e-02
case_psw3_256_ic549_full_0p005,psw3_256_ic549,full,0.005,,STABLE,7.3044e-04,3.0945e-05,23.60,nan,2.0360e-02
case_psw3_256_ic933_full_0p015,psw3_256_ic933,full,0.015,,STABLE,4.7460e-02,2.9276e-01,0.16,nan,2.0236e-01
case_psw3_256_ic933_full_0p01,psw3_256_ic933,full,0.01,,STABLE,5.0482e-03,1.6027e-03,3.15,nan,2.6832e-02
case_psw3_256_ic933_full_0p005,psw3_256_ic933,full,0.005,,STABLE,5.7671e-04,2.2506e-05,25.62,nan,1.8211e-02
case_psw3_combo_ic1355_full_0p015,psw3_combo_ic1355,full,0.015,,STABLE,9.9893e-02,1.4237e-01,0.70,5.4451e+00,5.0997e-01
case_psw3_combo_ic1355_full_0p01,psw3_combo_ic1355,full,0.01,,STABLE,4.7886e-03,2.1334e-03,2.24,6.0927e-02,3.2194e-02
case_psw3_combo_ic1355_full_0p005,psw3_combo_ic1355,full,0.005,,STABLE,5.3719e-04,4.4157e-05,12.17,2.4836e-02,1.5358e-02
case_psw3_combo_ic527_full_0p015,psw3_combo_ic527,full,0.015,10,UNSTABLE,,,,2.6473e+00,2.7002e+00
case_psw3_combo_ic527_full_0p01,psw3_combo_ic527,full,0.01,14,UNSTABLE,7.6240e-02,,,5.9416e+00,3.1245e+00
case_psw3_combo_ic527_full_0p005,psw3_combo_ic527,full,0.005,,STABLE,1.5888e-03,9.1038e-04,1.75,3.7605e-02,1.3060e-02
case_psw3_combo_ic884_full_0p015,psw3_combo_ic884,full,0.015,13,UNSTABLE,4.5260e-01,,,3.0540e+00,4.5887e-01
case_psw3_combo_ic884_full_0p01,psw3_combo_ic884,full,0.01,,STABLE,6.1261e-03,1.6533e-01,0.04,7.2150e+00,1.0458e+00
case_psw3_combo_ic884_full_0p005,psw3_combo_ic884,full,0.005,,STABLE,6.3583e-04,6.1793e-05,10.29,1.7086e-02,1.0014e-02
case_psw3_kf4_ic1356_full_0p015,psw3_kf4_ic1356,full,0.015,,STABLE,1.9297e-02,6.5195e-02,0.30,4.0242e+00,3.7892e-02
case_psw3_kf4_ic1356_full_0p01,psw3_kf4_ic1356,full,0.01,,STABLE,2.1155e-03,9.6352e-04,2.20,6.2850e-02,2.4792e-02
case_psw3_kf4_ic1356_full_0p005,psw3_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,1.2231e-05,21.00,1.8551e-02,1.2690e-02
case_psw3_kf4_ic532_full_0p015,psw3_kf4_ic532,full,0.015,,STABLE,9.3986e-03,6.1430e-03,1.53,5.5117e-01,4.3823e-02
case_psw3_kf4_ic532_full_0p01,psw3_kf4_ic532,full,0.01,,STABLE,2.1994e-03,3.0956e-04,7.11,2.4524e-02,2.9584e-02
case_psw3_kf4_ic532_full_0p005,psw3_kf4_ic532,full,0.005,,STABLE,2.7099e-04,1.2096e-05,22.40,2.2734e-02,1.4543e-02
case_psw3_kf4_ic837_full_0p015,psw3_kf4_ic837,full,0.015,,STABLE,3.8026e-02,2.1277e-01,0.18,5.4641e+00,3.1916e+00
case_psw3_kf4_ic837_full_0p01,psw3_kf4_ic837,full,0.01,,STABLE,1.7481e-03,3.5617e-03,0.49,3.5993e-01,2.6455e-02
case_psw3_kf4_ic837_full_0p005,psw3_kf4_ic837,full,0.005,,STABLE,2.0950e-04,1.1922e-05,17.57,2.2848e-02,1.2713e-02
case_psw3_kf4_ic912_full_0p015,psw3_kf4_ic912,full,0.015,,STABLE,7.2072e-02,1.9917e+00,0.04,4.5989e+00,1.7900e+01
case_psw3_kf4_ic912_full_0p01,psw3_kf4_ic912,full,0.01,,STABLE,2.7377e-03,3.0315e-02,0.09,5.5938e+00,9.7735e-02
case_psw3_kf4_ic912_full_0p005,psw3_kf4_ic912,full,0.005,,STABLE,3.1217e-04,1.8956e-05,16.47,2.6804e-02,1.5352e-02
