step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00036379235639553287,1.4198979379072536e-08,1.1375935374092063e-07,2.3725135211475247e-06,0.0003637305415961909
1,0.015,0.0003713602859300595,1.4203721012272913e-08,1.1477726289172589e-07,2.415699437844551e-06,0.00037129829348977566
2,0.03,0.0003812623578663812,1.420801736951938e-08,1.1593769270463024e-07,2.46802661005927e-06,0.00038120083673278836
3,0.045,0.0003940618878332111,1.421228738117824e-08,1.172129972600398e-07,2.528512323820555e-06,0.00039400116068959195
4,0.06,0.00041186414519318594,1.4217449884396274e-08,1.18666232827407e-07,2.6024276584861876e-06,0.00041180384386696597
5,0.075,0.00043869434949717415,1.4224383313730514e-08,1.2039634323910262e-07,2.7000336990858666e-06,0.0004386341661663829
6,0.09,0.00048221262128172234,1.4234156210517203e-08,1.2259794889387145e-07,2.8404604159517815e-06,0.0004821535068227365
7,0.105,0.0005565016611887606,1.4248477002598164e-08,1.256657727873825e-07,3.060188002758129e-06,0.0005564439505414551
8,0.12,0.0006842638910410437,1.4270776429427332e-08,1.303718630023803e-07,3.431585779420855e-06,0.0006842029090061581
9,0.135,0.0009006480466788354,1.4308113993402157e-08,1.3831274138581934e-07,4.084257491259897e-06,0.0009005822179148203
10,0.15,0.0012592964245937844,1.4375301059268354e-08,1.5278562275857757e-07,5.223903885287491e-06,0.0012592156644110903
11,0.16499999999999998,0.0018382424462376097,1.4506581807824743e-08,1.7981978061368712e-07,7.174273379044556e-06,0.0018381310611077233
12,0.18,0.0027665940009305974,1.4780850966645468e-08,2.2965892911709207e-07,1.0404017105916676e-05,0.0027664469277386495
13,0.195,0.004246072088679676,1.5380228513506845e-08,3.176026086683393e-07,1.565591002968124e-05,0.004245828884202292
14,0.21,0.006601774238270588,1.6708042479356178e-08,4.6622376228218923e-07,2.4139035737310108e-05,0.006601432980910355
15,0.22499999999999998,0.010390199668035274,1.9549408609495186e-08,7.118020975219116e-07,3.7720412374125215e-05,0.0103896641442108
16,0.24,0.01645954646433541,2.5268889729366016e-08,1.109828854416723e-06,5.9675652250717196e-05,0.016458658117136087
