step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00036379235639553287,1.4198979379072536e-08,1.1375935374092063e-07,2.3725135211475247e-06,0.0003637305415961909
1,0.015,0.00037135898747325563,1.4203711952213722e-08,1.1477691250682222e-07,2.415689678494736e-06,0.0003712969950324445
2,0.03,0.00038125931600809,1.4208000996670797e-08,1.1593698319353687e-07,2.468005193118724e-06,0.00038119779476771524
3,0.045,0.0003940564549133078,1.4212263771560137e-08,1.1721189242752534e-07,2.528476814865306e-06,0.0003939957275094377
4,0.06,0.00041185516302854236,1.421741862149355e-08,1.186646682046801e-07,2.6023740005056837e-06,0.0004117948613148139
5,0.075,0.0004386796388180461,1.422434369756213e-08,1.2039421574918545e-07,2.699954786048708e-06,0.00043861945497482773
6,0.09,0.0004821879808564875,1.4234107128195668e-08,1.2259507982821427e-07,2.8403431228896464e-06,0.00048212886561133144
7,0.105,0.0005564591435549253,1.4248416550159766e-08,1.2566182677077688e-07,3.060007116782803e-06,0.0005564014323448546
8,0.12,0.0006841895503561792,1.427070099487888e-08,1.3036618161235107e-07,3.431291870147348e-06,0.0006841285696215713
9,0.135,0.0009005181551176541,1.4308016261956063e-08,1.383039679311452e-07,4.083759585679808e-06,0.0009004523296744781
10,0.15,0.0012590712674658239,1.4375165300102424e-08,1.5277098573882617e-07,5.223046118268968e-06,0.0012589905168499855
11,0.16499999999999998,0.0018378561276451207,1.4506371515536416e-08,1.7979408541421282e-07,7.172793998456817e-06,0.001837744761126302
12,0.18,0.0027659324371948828,1.4780479723322236e-08,2.296131726164461e-07,1.0401488053120566e-05,0.0027657853943936577
13,0.195,0.0042449428776850495,1.537949205050439e-08,3.175223099898859e-07,1.5651602146939708e-05,0.004244699736916315
14,0.21,0.006599845573826882,1.6706485249147075e-08,4.6608526978799534e-07,2.4131710098851762e-05,0.0065995044042961365
15,0.22499999999999998,0.01038689739147659,1.954613909325361e-08,7.115655687642617e-07,3.770797116099911e-05,0.010386362041711526
16,0.24,0.016453898204172406,2.5262389710201716e-08,1.1094273949340973e-06,5.965443962161417e-05,0.016453010141318673
