step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00029339347984777255,2.070756943752788e-08,1.4891486106021824e-08,8.015239847530681e-07,0.0002934014198248808
1,0.005,0.0002970704991752895,2.0706049236943007e-08,1.4993507000396646e-08,8.108746092814333e-07,0.0002970784092156267
2,0.01,0.0003008786221809953,2.070452566547855e-08,1.5094529580588373e-08,8.204456689326628e-07,0.000300886517438257
3,0.015,0.0003047126665968466,2.070299961099292e-08,1.5194678957158908e-08,8.300219730364754e-07,0.00030472056098533346
4,0.02,0.0003086798757100759,2.0701471804509196e-08,1.5297415144662545e-08,8.398845896764003e-07,0.0003086877793544288
5,0.025,0.0003128326730048329,2.069994243243584e-08,1.5403989648329043e-08,8.501600675964883e-07,0.00031284060235675263
6,0.03,0.00031719914991703424,2.069841153054744e-08,1.5514877304309104e-08,8.608984999563262e-07,0.00031720713328371936
7,0.035,0.00032180380373192125,2.069687910519086e-08,1.5630380993670835e-08,8.721274572696166e-07,0.0003218118706315469
8,0.04,0.00032667161866734647,2.0695345167326192e-08,1.57507329543095e-08,8.838781794587378e-07,0.00032667978577154795
9,0.045,0.00033183075366536235,2.0693809739737343e-08,1.5876114632661272e-08,8.961960750240782e-07,0.00033183903042998867
10,0.05,0.0003373221726472844,2.0692272846546692e-08,1.6006752173044797e-08,9.091373225479133e-07,0.00033733058105206047
11,0.055,0.0003432140866021648,2.0690734499094343e-08,1.6143026973759663e-08,9.227677879361177e-07,0.00034322266561788266
12,0.06,0.00034962252701339474,2.068919469663591e-08,1.628549974855772e-08,9.371835202279452e-07,0.0003496313113025732
