step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot,rel_Ndot_nn,rel_Nddot_nn,rel_fnn,rms_inj
0,0.0,0.00029339347984777255,2.070756943752788e-08,1.4891486106021824e-08,8.015239847530681e-07,0.0002934014198248808,0.17867912344624398,0.241832253743743,0.2258562469913525,6.626228470664746e-05
1,0.005,0.0002926711123597167,2.070602530465137e-08,1.4879247099042373e-08,8.002407191945467e-07,0.00029267905226039486,0.18942592850714457,0.2504145411880113,0.23487767197243853,6.873934743315662e-05
2,0.01,0.00029161107121549026,2.0704476958192556e-08,1.4855859316796052e-08,7.979657098192266e-07,0.00029161902907123756,0.3523873629683531,0.5060585455047482,0.4983939010016715,0.00014533175407449957
3,0.015,0.00028933500682164437,2.0702924456167068e-08,1.4816404249691565e-08,7.937234652013444e-07,0.000289342961202404,0.5454165268629633,0.6584941154418825,0.6511074324658861,0.00018838110586496545
4,0.02,0.0002886155595406025,2.070137145148842e-08,1.4791973261366487e-08,7.915280088332107e-07,0.00028862353285900096,1.635949620333308,2.258250690821468,2.2590600515149912,0.0006519754343787657
5,0.025,0.0002867427235611645,2.0699817510140172e-08,1.4770632058069436e-08,7.887835715596723e-07,0.0002867506557911696,5.424514357934188,5.98098418319962,5.986734673871151,0.0017165878494660226
6,0.03,0.0002908810752314462,2.069825312813444e-08,1.478400663599304e-08,7.926368168740839e-07,0.000290888966032785,45.02300365885292,17.899356652316317,17.920981850578887,0.0052126815055366675
7,0.035,0.0003152332063982697,2.0696623045604236e-08,1.4779283745538065e-08,8.020309936115946e-07,0.0003152408905953654,359.2129001673266,50.311904186955786,50.34702496217179,0.015870541960730872
8,0.04,0.0005172388878890018,2.069455420062701e-08,1.5317695827141924e-08,9.667492902402061e-07,0.0005172440528661416,4113.717171342635,105.4033859043825,105.1773733287271,0.0544008790085565
9,0.045,0.002955046199268939,2.0693655380974167e-08,4.3658347454570145e-08,4.834335867732959e-06,0.0029550654282115133,26406.71745938246,191.63147974053433,198.94308584121632,0.5878781496391007
10,0.05,0.056955156045355976,2.210994569011231e-08,8.09454655917744e-07,9.307797153501554e-05,0.056954649069321885,118745.85807474681,1745.0318225004874,1807.6445632450605,102.95328443730517
