step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00029339347984777255,2.070756943752788e-08,1.4891486106021824e-08,8.015239847530681e-07,0.0002934014198248808
1,0.005,0.00029352930020160793,2.070603059218549e-08,1.489309368110223e-08,8.018345378459852e-07,0.0002935372321417847
2,0.01,0.00029374985245908606,2.070448996586443e-08,1.4896585281501296e-08,8.023462247917206e-07,0.0002937577787758678
3,0.015,0.00029399010208872804,2.0702947252414213e-08,1.4900311888193277e-08,8.029000524206756e-07,0.00029399802173725264
4,0.02,0.00029423294219358916,2.070140237557716e-08,1.490389480537191e-08,8.034592813107608e-07,0.00029424085218933096
5,0.025,0.00029447405894337907,2.0699855304336536e-08,1.490724890524788e-08,8.040178988205633e-07,0.00029448195894170905
6,0.03,0.00029471265138436147,2.0698306014153364e-08,1.4910359641410115e-08,8.045737148775613e-07,0.00029472054650786636
7,0.035,0.0002949493837379263,2.069675448139325e-08,1.4913237861321975e-08,8.051230260639888e-07,0.00029495728177727885
8,0.04,0.00029518497238158523,2.0695200684863283e-08,1.4915890397150374e-08,8.056624246687546e-07,0.000295192877377099
9,0.045,0.0002954188744900098,2.069364460687309e-08,1.491829789620762e-08,8.061915433904721e-07,0.00029542678375295837
10,0.05,0.00029564938679216437,2.069208623026447e-08,1.492042193706091e-08,8.067126380967899e-07,0.00029565729557672114
11,0.055,0.00029587524065331886,2.069052553231751e-08,1.4922237316783456e-08,8.072269949447632e-07,0.0002958831496089749
12,0.06,0.00029609679128326605,2.0688962480036565e-08,1.4923754499539874e-08,8.077323310615415e-07,0.0002961047075508073
