step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00029339347984777255,2.070756943752788e-08,1.4891486106021824e-08,8.015239847530681e-07,0.0002934014198248808
1,0.005,0.00029707037684348423,2.070604920700079e-08,1.4993501882291906e-08,8.108742379602466e-07,0.0002970782868837143
2,0.01,0.00030087836962980384,2.070452560535551e-08,1.509451960503372e-08,8.204449192128286e-07,0.00030088626488585353
3,0.015,0.00030471227676645123,2.0702999520308924e-08,1.5194664081651025e-08,8.300208328766708e-07,0.0003047201711518313
4,0.02,0.00030867933765382,2.070147168282784e-08,1.529739512777799e-08,8.398830346315826e-07,0.000308687241292378
5,0.025,0.0003128319734895031,2.0699942279310697e-08,1.5403964185078044e-08,8.50158067710441e-07,0.000312839902831846
6,0.03,0.000317198273852712,2.0698411345529614e-08,1.5514846056803615e-08,8.608960219539682e-07,0.0003172062572046488
7,0.035,0.00032180273407018007,2.0696878887829612e-08,1.5630343595813006e-08,8.721244647755837e-07,0.0003218108009486673
8,0.04,0.0003266703361716971,2.0695344917168322e-08,1.5750689012856445e-08,8.838746323719944e-07,0.0003266785032474849
9,0.045,0.000331829236367721,2.069380945632649e-08,1.5876063725323547e-08,8.961919287019667e-07,0.00033183751309540793
10,0.05,0.00033732039465642186,2.0692272529423198e-08,1.60066938407607e-08,9.091325270927514e-07,0.0003373288030135828
11,0.055,0.00034321201608186855,2.0690734147795293e-08,1.6142960709414755e-08,9.227622868298435e-07,0.00034322059503696717
12,0.06,0.0003496201226253449,2.068919431069433e-08,1.62854249857317e-08,9.371772469354119e-07,0.00034962890683965154
