step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00010779032782089866,4.207105001206679e-09,3.3706475182495015e-08,7.029669692288965e-07,0.00010777201232479734
1,0.01,0.00010815751970673017,4.205620329327742e-09,3.3742355981591214e-08,7.051192071766696e-07,0.00010813920537177917
2,0.02,0.00010845299106862074,4.20382229795044e-09,3.376403276745502e-08,7.068173380093986e-07,0.00010843473883229782
3,0.03,0.00010872750819013372,4.2018935522503045e-09,3.378090185170322e-08,7.08324583173662e-07,0.00010870937661326582
4,0.04,0.00010901115384051876,4.1999000117526904e-09,3.3797154215805444e-08,7.097755449946019e-07,0.00010899315910101373
5,0.05,0.00010931184333772731,4.197871087298184e-09,3.381353275343921e-08,7.112123895303091e-07,0.00010929394216072709
6,0.06,0.00010962954541447752,4.195832735469963e-09,3.382991871807291e-08,7.126752929003829e-07,0.00010961166017546355
7,0.07,0.00010996233400137064,4.193808998763064e-09,3.384626869748117e-08,7.142058354134804e-07,0.00010994441268937981
8,0.08,0.00011031307768795798,4.19181926773227e-09,3.386311423386957e-08,7.158233538528509e-07,0.0001102951459122839
9,0.09,0.0001106936249096052,4.189878589497078e-09,3.3881620762977014e-08,7.175150810610013e-07,0.00011067576511525579
10,0.1,0.00011111905626324713,4.18800188083736e-09,3.3903098533685325e-08,7.192633629128969e-07,0.00011110132035409969
11,0.11,0.00011159934113628102,4.186208785751315e-09,3.3928383261221835e-08,7.210838215066209e-07,0.00011158170324926812
12,0.12,0.0001121422263496262,4.184524905898636e-09,3.395770598474757e-08,7.230273477251137e-07,0.00011212462462803956
13,0.13,0.00011276036192502783,4.182978608216165e-09,3.3991079584474874e-08,7.251550414600691e-07,0.00011274274901208314
14,0.14,0.0001134709419898556,4.181596441402935e-09,3.4028729748162606e-08,7.275257146384869e-07,0.00011345330836751274
15,0.15,0.00011429918075394366,4.180400242705043e-09,3.407131801957408e-08,7.30189678923965e-07,0.00011428157966600697
16,0.16,0.00011528606122000385,4.179407100777228e-09,3.4119867734137595e-08,7.331886335944204e-07,0.00011526856640075062
