step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot,rel_Ndot_nn,rel_Nddot_nn,rel_fnn,rms_inj
0,0.0,0.00010779032782089866,4.207105001206679e-09,3.3706475182495015e-08,7.029669692288965e-07,0.00010777201232479734,0.11680205293446883,0.19197635895779433,0.16443360113998762,1.7720591745616757e-05
1,0.01,0.0001076656494134561,4.204762811036809e-09,3.367944043225784e-08,7.025450329880838e-07,0.00010764735813654762,0.11727246517807827,0.20901076852312805,0.18551578665762536,1.9969436220932702e-05
2,0.02,0.00010747152023352538,4.202253176369996e-09,3.364494713737043e-08,7.018212853714995e-07,0.00010745330180765954,0.11531029625069823,0.1935702385814477,0.16144972754405645,1.734755808840109e-05
3,0.03,0.00010726844581161826,4.199667919402e-09,3.3608279078353736e-08,7.009997342940854e-07,0.00010725033696156305,0.11933684308724497,0.1833860610588313,0.1568892701618331,1.682568489151556e-05
4,0.04,0.00010725527428824136,4.197276131957373e-09,3.3593565643955236e-08,7.011016034019526e-07,0.0001072372861322887,0.11584679798058642,0.26904838241767004,0.25309814317675267,2.714032759898879e-05
5,0.05,0.00010716062367282225,4.194552982456032e-09,3.3558711577361725e-08,7.004808673613006e-07,0.00010714275395677341,0.12510853680054168,0.3421982043986486,0.32247164528608013,3.454889989571788e-05
6,0.06,0.00010681471079448555,4.191716447049361e-09,3.3501386408571835e-08,6.986268387943556e-07,0.00010679686501661712,0.12278249079592995,0.4301818736733225,0.41638362241976035,4.4466408038328444e-05
7,0.07,0.00010671680539242189,4.189458266517782e-09,3.349988381974483e-08,6.989497906914599e-07,0.00010669888593919686,0.13673771621125166,0.7477994454064104,0.7415356803591776,7.911739070667268e-05
8,0.08,0.00010685946786649179,4.186953419853551e-09,3.34938495246724e-08,6.99935676853483e-07,0.00010684155925880229,0.18060911977536995,1.1846610682300243,1.1745258280815691,0.00012548235723909302
9,0.09,0.00010690774372750548,4.183815119122943e-09,3.340429076660223e-08,6.978530864831826e-07,0.0001068899724889637,0.2474739874460634,2.014285343329422,2.0030150063470495,0.0002140923382328879
10,0.1,0.00010793891277792826,4.181806166867506e-09,3.342112772800274e-08,7.002378119003875e-07,0.00010792118026835657,0.40017976118123444,3.4703341971814146,3.458137797921778,0.00037318935472980034
11,0.11,0.00011174096965414184,4.180599472613455e-09,3.359303892699089e-08,7.133583777644406e-07,0.00011172334558810752,0.7649420228462072,5.993729374704971,5.974156592916114,0.0006674224707802633
12,0.12,0.0001221220801659185,4.178092845762018e-09,3.374241532089077e-08,7.387707693136011e-07,0.0001221054362149649,1.6146692263802223,9.85727600384581,9.826967456734378,0.0011998707272236784
13,0.13,0.0001580808302958202,4.179322017801911e-09,3.465971097330515e-08,8.384129979519764e-07,0.00015806514217464091,4.130745277743613,14.024776238554116,13.981836266568212,0.0022099501524655628
14,0.14,0.00025283837946065996,4.193943240213856e-09,3.8445171197118016e-08,1.1546202950675498e-06,0.00025282048438818793,10.918369969740501,16.83792612634996,16.772295429781867,0.004240238562813977
15,0.15,0.00046379097269011894,4.2422222033242525e-09,4.9581724647716207e-08,1.925289273171127e-06,0.00046376568938017983,29.45202639422214,19.321793834226998,19.195313940033927,0.008901845925459525
16,0.16,0.000966568743155284,4.464481118091804e-09,8.357313259610401e-08,3.854268833794023e-06,0.000966525382659602,71.18641492901709,29.1104591072606,28.70435702768715,0.027742528234759124
