step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00010779032782089866,4.207105001206679e-09,3.3706475182495015e-08,7.029669692288965e-07,0.00010777201232479734
1,0.01,0.00010772739041956444,4.204561904494864e-09,3.367471051088038e-08,7.025995535101779e-07,0.00010770908503136897
2,0.02,0.0001076685387389851,4.201956266274803e-09,3.36434219845188e-08,7.022789343374815e-07,0.00010765028358363512
3,0.03,0.0001076098866915968,4.199289840732908e-09,3.36121721027194e-08,7.019459632593095e-07,0.00010759172822150814
4,0.04,0.00010755375387295625,4.196577921007047e-09,3.358121449435713e-08,7.015829391265489e-07,0.00010753570730985362
5,0.05,0.00010750070348110864,4.193840381820432e-09,3.3550591827323793e-08,7.011950567200474e-07,0.00010748273637609011
6,0.06,0.00010744801613661339,4.191098824440798e-09,3.352012350088289e-08,7.00804653707722e-07,0.0001074300662463772
7,0.07,0.00010739151648924329,4.188373516418862e-09,3.3489699370322696e-08,7.004374195111692e-07,0.00010737353285784253
8,0.08,0.00010732884272839458,4.185681094747079e-09,3.345958327798899e-08,7.001057316577339e-07,0.00010731082071990668
9,0.09,0.000107261621440159,4.183034577294859e-09,3.343049199033515e-08,6.998010365264058e-07,0.00010724360395578963
10,0.1,0.00010719446316051332,4.180445834766985e-09,3.340337134199595e-08,6.995019102674034e-07,0.0001071765045015961
11,0.11,0.00010713124416757081,4.17792900213726e-09,3.3379012415492293e-08,6.991922700318124e-07,0.00010711336440388404
12,0.12,0.00010707190133770771,4.175502627779871e-09,3.33577764127613e-08,6.988750821833553e-07,0.00010705406922237498
13,0.13,0.00010701273970277131,4.173189212196693e-09,3.333961400635643e-08,6.985702130561738e-07,0.00010699489786308358
14,0.14,0.00010694985098130201,4.171012550927653e-09,3.332433266580851e-08,6.982988726363935e-07,0.00010693196000338605
15,0.15,0.00010688235766070772,4.1689946271123665e-09,3.331188125959206e-08,6.980683531730739e-07,0.00010686442160916038
16,0.16,0.00010681278440477396,4.1671537509242705e-09,3.330243676479061e-08,6.978691349155577e-07,0.00010679483992826273
