step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot
0,0.0,0.00010779032782089866,4.207105001206679e-09,3.3706475182495015e-08,7.029669692288965e-07,0.00010777201232479734
1,0.01,0.00010815745293354548,4.205619817284014e-09,3.3742336883359537e-08,7.051186862790507e-07,0.00010813913859443143
2,0.02,0.00010845287387200915,4.2038214801156684e-09,3.3764001137720424e-08,7.068164424076428e-07,0.00010843462162081793
3,0.03,0.00010872734448226403,4.201892461124642e-09,3.3780859325545514e-08,7.08323356699279e-07,0.00010870921287715
4,0.04,0.00010901094227904909,4.199898655989217e-09,3.3797101216945973e-08,7.097739955018618e-07,0.00010899294749832228
5,0.05,0.00010931158124091428,4.197869472953861e-09,3.381346953856683e-08,7.112105165525666e-07,0.00010929368001292616
6,0.06,0.00010962922957753708,4.195830867567407e-09,3.3829845526846975e-08,7.126730915638848e-07,0.00010961134428104499
7,0.07,0.0001099619605493602,4.193806881466703e-09,3.384618573252616e-08,7.142032973543936e-07,0.00010994403917185047
8,0.08,0.00011031264114460333,4.191816904571983e-09,3.386302159913321e-08,7.158204696946022e-07,0.00011029470928714063
9,0.09,0.00011069311715891302,4.189875983304548e-09,3.388151842653754e-08,7.175118419195753e-07,0.00011067525725957574
10,0.1,0.00011111846674952936,4.187999033087142e-09,3.390298636890775e-08,7.192597563570908e-07,0.00011110073071673705
11,0.11,0.00011159865741222611,4.1862056956109545e-09,3.3928261129553416e-08,7.210798243504485e-07,0.00011158101939380953
12,0.12,0.00011214143262453961,4.184521569757951e-09,3.395757375405594e-08,7.230229234402672e-07,0.00011212383076756849
13,0.13,0.00011275943681256538,4.182975020075206e-09,3.399093705468896e-08,7.251501412251691e-07,0.00011274182375701484
14,0.14,0.00011346985744594519,4.181592593725679e-09,3.4028576550922104e-08,7.275202751873033e-07,0.00011345222366717652
15,0.15,0.00011429789921179013,4.180396127119764e-09,3.4071153529288515e-08,7.301836194472388e-07,0.00011428029794011672
16,0.16,0.00011528453101843589,4.179402708196087e-09,3.411969102141825e-08,7.331818503057417e-07,0.0001152670359845556
