t,relL2_bare,relL2_r3only,relL2_r3anal,relL2_closure
0.0,4.912973675966709e-16,4.912973675966709e-16,4.912973675966709e-16,4.912973675966709e-16
0.015,0.00038443749181173045,0.00038435667288002,1.750499796712893e-05,6.0114392241071655e-05
0.03,0.0008351226669624183,0.0008349480663523804,3.871134499773867e-05,0.00014888993986069627
0.045,0.001302940723159559,0.0013026685705494758,6.0523357536951e-05,0.00020678115684358948
0.06,0.0017830249746390169,0.0017826523236011622,8.22487259399489e-05,0.0002306764542888189
0.075,0.0022788176408837686,0.002278340993386301,0.00010371400119982906,0.0004269742824037393
0.09,0.002797921631226871,0.0027973361769319275,0.00012487000316805223,0.0009639040388251465
0.105,0.0033545234891804,0.003353821566092411,0.00014571203761321914,0.002173382749065609
0.12,0.003975840786171286,0.003975008432961879,0.00016623850056274504,0.0053423322085579044
0.135,0.004712324712517361,0.004711334812508946,0.00018642485136254164,0.014129272940270554
0.15,0.005655756369210146,0.005654554256132141,0.00020626123105652077,0.04149802465947676
0.16499999999999998,0.006975323886209377,0.006973797876584096,0.00022577500396618946,0.24463695430667445
0.18,0.00895737565532545,0.00895530935213198,0.0002449754739936206,
0.195,0.012069022299961459,0.012066015272063121,0.00026383772099853984,
0.21,0.017048623070963984,0.017043972780813283,0.00028235297389121586,
0.22499999999999998,0.025014765906572943,0.025007282214362936,0.0003005427168508957,
0.24,0.03779660628903696,0.03778425833177791,0.0003184247993218049,
