t,relL2_bare,relL2_r3only,relL2_r3anal,relL2_closure
0.0,4.912973675966709e-16,4.912973675966709e-16,4.912973675966709e-16,4.912973675966709e-16
0.01,0.00011486235485997555,0.00011483819564266346,3.3932123132497037e-06,1.7963455802181813e-05
0.02,0.00023860633123434324,0.00023855645126070855,7.146136570661753e-06,3.942996227731701e-05
0.03,0.00036170070609466663,0.0003616253471730692,1.088002645108361e-05,5.643095205412983e-05
0.04,0.00048396089399898803,0.000483860314700231,1.4572069802832572e-05,6.833519369602676e-05
0.05,0.0006055192943419924,0.0006053937289621349,1.8224956958605e-05,9.212225516846005e-05
0.06,0.0007264060346040188,0.0007262557165466258,2.1838996194125767e-05,0.00011254676974979116
0.07,0.0008466155807656176,0.0008464407511925777,2.5413740034518463e-05,0.0001229412073556384
0.08,0.0009661259198765218,0.0009659268296075021,2.8949499696613227e-05,0.00016259486158096614
0.09,0.0010849200289336333,0.0010846969333310355,3.244759799295269e-05,0.00019617819216004073
0.1,0.0012030164708781833,0.0012027696203891682,3.590916285085976e-05,0.0002616562299124477
0.11,0.0013204668159645964,0.0013201964514188006,3.933358483299133e-05,0.00038774586903145416
0.12,0.001437310912675396,0.0014370172702238286,4.271889796684062e-05,0.0006896405140835875
0.13,0.0015535538706745752,0.0015532371888327353,4.606413054206855e-05,0.0011843610234542467
0.14,0.0016691971250915253,0.0016688576449312557,4.9370671929650066e-05,0.0021738820921738595
0.15,0.001784267367307067,0.001783905326209402,5.264083364238231e-05,0.0042138104844084865
0.16,0.0018988197495633213,0.0018984353698112042,5.5875616649971153e-05,0.009042060045418753
