member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
DEC-512,1em2,best,Ndot,0.1030622340125806,0.10465408633221303,0.1030622340125806,0.10465408633221303
DEC-512,1em2,best,Nddot,0.1030292950270131,0.10302522708604452,0.1030292950270131,0.10302522708604452
DEC-512,1em2,best,N3dot,0.5288274543648164,0.5250495824255798,0.5288274543648164,0.5250495824255798
DEC-512,1em2,zero,Ndot,0.21138963547607034,0.21020520615655625,0.21138963547607034,0.21020520615655625
DEC-512,1em2,zero,Nddot,0.2535243012928229,0.25376253144333094,0.2535243012928229,0.25376253144333094
DEC-512,1em2,zero,N3dot,0.28418317980715935,0.28481257226016604,0.28418317980715935,0.28481257226016604
DEC-512,1p5em2,best,Ndot,0.10182692924461093,0.10374508065947803,0.10182692924461093,0.10374508065947803
DEC-512,1p5em2,best,Nddot,0.10332885364361191,0.10324998254341244,0.10332885364361191,0.10324998254341244
DEC-512,1p5em2,best,N3dot,0.5316886579052411,0.5280939467308188,0.5316886579052411,0.5280939467308188
DEC-512,1p5em2,zero,Ndot,0.2113827337943208,0.21019901947942107,0.2113827337943208,0.21019901947942107
DEC-512,1p5em2,zero,Nddot,0.25388423436376356,0.25414543829664243,0.25388423436376356,0.25414543829664243
DEC-512,1p5em2,zero,N3dot,0.28421080627771134,0.28544097319236,0.28421080627771134,0.28544097319236
DEC-512,5em3,best,Ndot,0.15255879968699815,0.15888723564267518,0.15255879968699815,0.15888723564267518
DEC-512,5em3,best,Nddot,0.10345526306439126,0.10337166224623555,0.10345526306439126,0.10337166224623555
DEC-512,5em3,best,N3dot,0.5523178422189536,0.5482944554691035,0.5523178422189536,0.5482944554691035
DEC-512,5em3,zero,Ndot,0.21139035854926375,0.21020632777616824,0.21139035854926375,0.21020632777616824
DEC-512,5em3,zero,Nddot,0.2540548225928255,0.25427395136714614,0.2540548225928255,0.25427395136714614
DEC-512,5em3,zero,N3dot,0.4841458259345487,0.47663654849527387,0.4841458259345487,0.47663654849527387
DEC-base,1em2,best,Ndot,0.11809174669362832,0.11802479949911586,0.11809174669362832,0.11802479949911586
DEC-base,1em2,best,Nddot,0.129842542805241,0.1276030404453456,0.129842542805241,0.1276030404453456
DEC-base,1em2,best,N3dot,0.5390249398896367,0.5382035965502032,0.5390249398896367,0.5382035965502032
DEC-base,1em2,zero,Ndot,0.2316232577960835,0.23360652694812478,0.2316232577960835,0.23360652694812478
DEC-base,1em2,zero,Nddot,0.24663912797809975,0.2481655833872843,0.24663912797809975,0.2481655833872843
DEC-base,1em2,zero,N3dot,0.27556541563485437,0.27750028936497534,0.27556541563485437,0.27750028936497534
DEC-base,1p5em2,best,Ndot,0.11801441203480409,0.11793758846218505,0.11801441203480409,0.11793758846218505
DEC-base,1p5em2,best,Nddot,0.12979248113461545,0.12756137417418936,0.12979248113461545,0.12756137417418936
DEC-base,1p5em2,best,N3dot,0.5377596816713914,0.5368734299960294,0.5377596816713914,0.5368734299960294
DEC-base,1p5em2,zero,Ndot,0.23162331885999424,0.23360626360810302,0.23162331885999424,0.23360626360810302
DEC-base,1p5em2,zero,Nddot,0.24647125448732793,0.2480369141326796,0.24647125448732793,0.2480369141326796
DEC-base,1p5em2,zero,N3dot,0.2657443804904521,0.2657434406804767,0.2657443804904521,0.2657434406804767
DEC-base,5em3,best,Ndot,0.12347246194438569,0.12454291389855586,0.12347246194438569,0.12454291389855586
DEC-base,5em3,best,Nddot,0.13022797948062195,0.12803130467370305,0.13022797948062195,0.12803130467370305
DEC-base,5em3,best,N3dot,0.6320295405012304,0.6379483677380625,0.6320295405012304,0.6379483677380625
DEC-base,5em3,zero,Ndot,0.23162506225287088,0.2336066691799016,0.23162506225287088,0.2336066691799016
DEC-base,5em3,zero,Nddot,0.24764281049361198,0.2491495706274679,0.24764281049361198,0.2491495706274679
