epoch,val_nll,val_rmse,val_r2,val_sigma,zeta_ls
0.0,7.597,343.74,0.2306,105.0,0.877
1.0,8.0393,290.48,0.4506,103.1,0.988
2.0,7.8833,269.11,0.5284,106.4,1.076
3.0,7.6217,253.37,0.582,107.8,1.112
4.0,7.6455,249.18,0.5957,108.2,1.122
5.0,7.4576,243.69,0.6133,115.5,1.219
6.0,7.2359,245.68,0.607,121.7,1.296
7.0,7.039,218.99,0.6877,123.8,1.334
8.0,6.9853,208.76,0.7162,125.1,1.357
9.0,6.9586,207.06,0.7208,125.5,1.365
10.0,6.8957,205.94,0.7239,131.0,1.448
11.0,6.8315,200.77,0.7375,133.6,1.499
12.0,6.7567,200.01,0.7395,136.6,1.538
13.0,6.6837,185.92,0.7749,137.6,1.553
14.0,6.6602,182.68,0.7827,138.2,1.561
15.0,6.7026,189.25,0.7668,143.5,1.629
16.0,6.6357,185.51,0.7759,146.8,1.667
17.0,6.6698,189.66,0.7658,151.8,1.713
18.0,6.5619,174.18,0.8024,154.0,1.731
19.0,6.5439,171.09,0.8094,154.4,1.738
20.0,6.5491,172.72,0.8058,157.9,1.816
21.0,6.573,175.94,0.7984,161.1,1.864
22.0,6.524,168.61,0.8149,164.7,1.886
23.0,6.5063,164.81,0.8231,165.6,1.894
24.0,6.5001,163.64,0.8256,165.8,1.899
25.0,6.9412,234.2,0.6429,173.2,1.968
26.0,6.6208,185.86,0.7751,176.1,1.986
27.0,6.5318,167.46,0.8174,179.9,2.003
28.0,6.4946,159.35,0.8347,181.0,2.014
29.0,6.4932,158.95,0.8355,181.3,2.016
30.0,6.6514,190.3,0.7642,183.6,2.055
31.0,6.6452,190.08,0.7647,187.5,2.073
32.0,6.5446,167.43,0.8175,190.0,2.076
33.0,6.5213,161.43,0.8303,191.5,2.078
34.0,6.5013,156.5,0.8405,191.8,2.08
35.0,6.566,170.45,0.8108,194.5,2.128
36.0,6.5149,157.56,0.8383,196.6,2.138
37.0,6.5441,162.37,0.8283,201.9,2.119
38.0,6.5201,155.61,0.8423,203.0,2.118
39.0,6.5201,155.24,0.8431,203.2,2.118
40.0,6.5377,159.14,0.8351,204.8,2.14
41.0,6.6038,174.87,0.8009,207.4,2.152
42.0,6.5392,158.29,0.8368,209.3,2.154
43.0,6.5224,151.08,0.8514,210.5,2.157
44.0,6.5226,151.0,0.8515,210.7,2.157
45.0,6.5869,168.1,0.816,214.6,2.181
46.0,6.5729,161.66,0.8298,218.2,2.179
47.0,6.5806,161.61,0.8299,221.6,2.166
48.0,6.5487,151.19,0.8512,221.4,2.168
49.0,6.5428,149.23,0.855,221.3,2.168
50.0,6.5855,159.18,0.835,226.5,2.199
51.0,6.6111,167.01,0.8184,227.5,2.203
52.0,6.5766,153.21,0.8472,230.3,2.201
53.0,6.5806,154.1,0.8454,231.0,2.199
54.0,6.5708,150.17,0.8532,231.3,2.198
55.0,6.6184,164.91,0.8229,233.8,2.24
56.0,6.6043,158.31,0.8368,235.9,2.231
57.0,6.6038,158.15,0.8371,235.5,2.236
58.0,6.5867,151.94,0.8497,235.4,2.236
59.0,6.579,148.88,0.8557,235.6,2.234
60.0,6.6077,155.37,0.8428,240.2,2.245
61.0,6.6006,153.76,0.846,239.6,2.244
62.0,6.6324,164.53,0.8237,240.2,2.239
63.0,6.6028,152.68,0.8482,241.2,2.228
64.0,6.5954,149.58,0.8543,241.4,2.227
65.0,6.6025,152.57,0.8484,241.4,2.246
66.0,6.6182,155.65,0.8422,244.3,2.229
67.0,6.6295,157.72,0.838,246.9,2.217
68.0,6.6104,149.47,0.8545,247.3,2.214
69.0,6.606,147.82,0.8577,247.2,2.215
70.0,6.8035,219.62,0.6859,250.4,2.236
71.0,6.6305,154.93,0.8437,250.3,2.246
72.0,6.6169,150.24,0.853,249.2,2.249
73.0,6.6189,152.35,0.8489,247.9,2.255
74.0,6.605,146.66,0.8599,247.8,2.253
75.0,6.6774,172.77,0.8056,252.4,2.259
76.0,6.6327,155.32,0.8429,250.6,2.264
77.0,6.6352,155.17,0.8432,252.2,2.25
78.0,6.6292,151.22,0.8511,252.7,2.249
79.0,6.6204,147.97,0.8574,252.5,2.249
80.0,6.6635,161.87,0.8294,257.3,2.279
81.0,6.6452,154.34,0.8449,256.4,2.272
82.0,6.6361,151.29,0.851,255.8,2.27
83.0,6.6277,148.88,0.8557,254.5,2.271
84.0,6.623,146.95,0.8594,254.3,2.27
85.0,6.7787,206.26,0.723,253.4,2.301
86.0,6.6506,157.44,0.8386,255.5,2.299
87.0,6.6389,152.66,0.8482,255.3,2.294
88.0,6.6228,147.32,0.8587,253.9,2.298
89.0,6.6191,146.25,0.8607,253.5,2.297
90.0,6.697,175.84,0.7987,255.8,2.316
91.0,6.6302,151.14,0.8512,253.6,2.325
92.0,6.6163,148.7,0.856,250.3,2.322
93.0,6.6107,146.07,0.8611,250.5,2.312
94.0,6.608,145.1,0.8629,250.2,2.311
95.0,6.9794,262.36,0.5518,249.3,2.295
96.0,6.6456,160.23,0.8328,250.9,2.316
97.0,6.6212,151.48,0.8506,249.5,2.312
98.0,6.6096,147.31,0.8587,249.1,2.309
99.0,6.6049,145.47,0.8622,248.8,2.308
