epoch,val_nll,val_rmse,val_r2,val_sigma,zeta_ls
0.0,10.345,163.98,0.0128,29.61,0.693
1.0,9.9664,160.63,0.0528,29.35,0.693
2.0,10.351,158.43,0.0786,29.36,0.693
3.0,10.529,157.33,0.0914,29.45,0.693
4.0,10.645,157.06,0.0945,29.45,0.693
5.0,11.557,155.02,0.1178,29.79,0.693
6.0,11.986,152.77,0.1432,29.99,0.693
7.0,12.084,151.47,0.1578,30.2,0.693
8.0,12.712,150.62,0.1672,30.32,0.693
9.0,12.579,150.38,0.1698,30.35,0.693
10.0,12.79,148.36,0.192,30.82,0.693
11.0,12.658,146.63,0.2107,31.21,0.693
12.0,12.989,145.35,0.2245,31.44,0.693
13.0,12.853,144.55,0.233,31.6,0.693
14.0,12.786,144.26,0.236,31.64,0.693
15.0,12.275,142.94,0.2499,32.18,0.693
16.0,12.107,141.12,0.2689,32.5,0.693
17.0,12.296,139.82,0.2823,32.77,0.693
18.0,12.107,139.05,0.2902,32.92,0.693
19.0,12.078,138.78,0.293,32.97,0.693
20.0,11.555,137.45,0.3064,33.46,0.693
21.0,11.479,135.86,0.3224,33.86,0.693
22.0,11.094,134.78,0.3331,34.14,0.693
23.0,11.22,133.84,0.3424,34.3,0.693
24.0,11.199,133.54,0.3453,34.35,0.693
25.0,10.624,132.43,0.3562,34.93,0.693
26.0,10.267,131.13,0.3687,35.38,0.693
27.0,10.551,129.47,0.3847,35.63,0.693
28.0,10.444,128.74,0.3916,35.81,0.693
29.0,10.368,128.4,0.3947,35.86,0.693
30.0,10.178,127.24,0.4057,36.34,0.693
31.0,9.808,125.89,0.4182,36.88,0.693
32.0,9.6969,124.86,0.4277,37.13,0.693
33.0,9.7029,124.05,0.4351,37.32,0.693
34.0,9.6395,123.63,0.4389,37.36,0.693
35.0,9.3886,122.96,0.445,37.9,0.693
36.0,9.1878,121.17,0.461,38.38,0.693
37.0,9.0795,119.88,0.4724,38.71,0.693
38.0,8.9812,119.19,0.4785,38.89,0.693
39.0,8.9857,118.9,0.481,38.94,0.693
40.0,8.767,118.47,0.4848,39.47,0.693
41.0,8.6881,116.94,0.498,39.96,0.693
42.0,8.5617,115.7,0.5085,40.32,0.693
43.0,8.4606,115.01,0.5144,40.51,0.693
44.0,8.4208,114.61,0.5178,40.56,0.693
45.0,8.2483,114.3,0.5204,41.14,0.693
46.0,8.1334,112.99,0.5313,41.7,0.693
47.0,8.0114,111.63,0.5425,41.94,0.693
48.0,7.9955,111.17,0.5463,42.14,0.693
49.0,7.9482,110.47,0.552,42.18,0.693
50.0,7.8755,110.51,0.5516,42.88,0.693
51.0,7.6914,108.82,0.5653,43.34,0.693
52.0,7.5835,107.57,0.5752,43.71,0.693
53.0,7.5443,106.64,0.5825,43.9,0.693
54.0,7.5283,106.45,0.584,43.95,0.693
55.0,7.4155,105.95,0.5879,44.51,0.693
56.0,7.3348,104.91,0.5959,45.05,0.693
57.0,7.2514,104.32,0.6005,45.41,0.693
58.0,7.2265,103.4,0.6075,45.61,0.693
59.0,7.1933,103.05,0.6102,45.67,0.693
