epoch,val_nll,val_rmse,val_r2,val_sigma,zeta_ls
0.0,11.025,146.45,0.2127,32.56,0.693
1.0,10.036,133.44,0.3463,35.18,0.693
2.0,9.168,124.06,0.435,37.42,0.693
3.0,8.7168,118.11,0.4879,38.57,0.693
4.0,8.5389,116.41,0.5025,38.91,0.693
5.0,7.6919,113.75,0.525,43.06,0.693
6.0,7.1205,105.92,0.5881,45.9,0.693
7.0,6.891,102.21,0.6165,47.68,0.693
8.0,6.7072,98.488,0.6439,48.75,0.693
9.0,6.6408,96.867,0.6555,49.03,0.693
10.0,6.3827,94.888,0.6695,53.38,0.693
11.0,6.2446,92.829,0.6837,56.34,0.693
12.0,6.084,88.451,0.7128,58.14,0.693
13.0,6.0021,85.739,0.7301,59.12,0.693
14.0,5.9807,84.925,0.7352,59.43,0.693
15.0,6.0036,89.679,0.7048,63.56,0.693
16.0,5.8781,83.939,0.7413,65.8,0.693
17.0,5.8323,81.607,0.7555,67.15,0.693
18.0,5.8033,80.078,0.7646,67.64,0.693
19.0,5.7826,78.783,0.7721,67.8,0.693
20.0,5.8169,81.506,0.7561,70.98,0.693
21.0,5.7892,80.203,0.7639,72.22,0.693
22.0,5.7848,79.584,0.7675,72.17,0.693
23.0,5.7547,77.568,0.7791,72.07,0.693
24.0,5.7309,75.904,0.7885,72.05,0.693
25.0,5.8134,81.969,0.7533,75.19,0.693
26.0,5.7839,79.904,0.7656,74.85,0.693
27.0,5.7486,77.023,0.7822,74.28,0.693
28.0,5.7255,75.383,0.7914,73.87,0.693
29.0,5.7137,74.41,0.7967,73.74,0.693
30.0,5.7696,78.642,0.773,73.53,0.693
31.0,5.7418,76.362,0.7859,74.22,0.693
32.0,5.7285,75.844,0.7888,73.03,0.693
33.0,5.7223,75.072,0.7931,72.51,0.693
34.0,5.7015,73.553,0.8014,72.45,0.693
35.0,5.7466,77.14,0.7815,73.24,0.693
36.0,5.7402,76.862,0.7831,72.77,0.693
37.0,5.7288,75.369,0.7915,71.88,0.693
38.0,5.6899,72.939,0.8047,71.42,0.693
39.0,5.6858,72.47,0.8072,71.25,0.693
40.0,5.7328,76.068,0.7876,71.86,0.693
41.0,5.7306,75.83,0.7889,71.66,0.693
42.0,5.7156,74.643,0.7955,71.3,0.693
43.0,5.69,72.823,0.8053,70.9,0.693
44.0,5.68,72.107,0.8091,70.69,0.693
45.0,5.7473,76.74,0.7838,71.28,0.693
46.0,5.73,75.574,0.7903,70.55,0.693
47.0,5.6995,73.532,0.8015,69.59,0.693
48.0,5.6923,73.027,0.8042,68.97,0.693
49.0,5.6689,71.432,0.8127,68.83,0.693
50.0,5.7745,78.599,0.7732,71.1,0.693
