timestamp,event,job_id,host,note
2026-07-19T05:53:42,start,1840764,ibamd-compute-0-3.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-telS-A --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-telS-A/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T05:53:42,start,1840760,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-const --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-const/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T05:53:42,start,1840761,ibfdr-compute-0-2.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-sine --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-sine/extreme_events.csv --report-run sigma_events_wallv2_fpc
timestamp,event,job_id,host,note
2026-07-19T05:53:42,start,1840762,ibamd-compute-0-3.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-ramp --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-ramp/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T05:53:42,start,1840763,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-ou --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-ou/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T05:54:18,fail,1840760,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T05:54:19,fail,1840763,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T05:54:19,fail,1840761,ibfdr-compute-0-2.local,diagnose_sigma_at_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T05:54:28,fail,1840764,ibamd-compute-0-3.local,diagnose_sigma_at_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T05:54:28,fail,1840762,ibamd-compute-0-3.local,diagnose_sigma_at_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T23:19:23,start,1841465,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-telS-A --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-telS-A/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T23:19:23,start,1841464,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-ou --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-ou/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T23:19:23,start,1841462,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-sine --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-sine/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T23:19:23,start,1841463,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-ramp --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-ramp/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T23:19:23,start,1841461,ibfdr-compute-0-4.local,diagnose_sigma_at_events.py --ckpt runs_piff/piff_fpc_gjs_wallv2/best.pt --config conf_piff_fpc_gjs_wallv2.yaml --member FPC-const --events runs_piff/piff_fpc_gjs_wallv2/error_tails_diag/FPC-const/extreme_events.csv --report-run sigma_events_wallv2_fpc
2026-07-19T23:24:37,done,1841463,ibfdr-compute-0-4.local,FPC-ramp: CONFIDENTLY-WRONG: truth is 8 sigma away (median) -- features cannot d
2026-07-19T23:24:39,done,1841462,ibfdr-compute-0-4.local,FPC-sine: CONFIDENTLY-WRONG: truth is 6 sigma away (median) -- features cannot d
2026-07-19T23:24:45,done,1841464,ibfdr-compute-0-4.local,FPC-ou: CONFIDENTLY-WRONG: truth is 5 sigma away (median) -- features cannot d
2026-07-19T23:24:48,done,1841465,ibfdr-compute-0-4.local,FPC-telS-A: CONFIDENTLY-WRONG: truth is 8 sigma away (median) -- features cannot d
2026-07-19T23:24:55,done,1841461,ibfdr-compute-0-4.local,FPC-const: CONFIDENTLY-WRONG: truth is 4 sigma away (median) -- features cannot d
